group, distrito
AÇORES, Açores
AVEIRO, Aveiro
BEJA, Beja
BRAGA, Braga
BRAGANÇA, Bragança
CASTELO BRANCO, Castelo Branco
COIMBRA, Coimbra
ÉVORA, Évora
FARO, Faro
GUARDA, Guarda
LEIRIA, Leiria
LISBOA, Lisboa
MADEIRA, Madeira
PORTALEGRE, Portalegre
PORTO, Porto
SANTARÉM, Santarém
SETÚBAL, Setúbal
VIANA DO CASTELO, Viana do Castelo
VILA REAL, Vila Real
VISEU, Viseu
